7.300000E+2	5.070000E+2	0.000000E+0	0.000000E+0	0.000000E+0	5.070000E+2	1.355000E+0	2.350000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.310000E+2	7.230000E+2	0.000000E+0	0.000000E+0	0.000000E+0	7.230000E+2	1.960000E+0	2.260000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.320000E+2	6.420000E+2	0.000000E+0	0.000000E+0	0.000000E+0	6.420000E+2	2.565000E+0	2.180000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.330000E+2	6.090000E+2	0.000000E+0	0.000000E+0	0.000000E+0	6.090000E+2	3.173000E+0	2.340000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.340000E+2	6.160000E+2	0.000000E+0	0.000000E+0	0.000000E+0	6.160000E+2	3.779000E+0	2.250000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.350000E+2	6.180000E+2	0.000000E+0	0.000000E+0	0.000000E+0	6.180000E+2	4.387000E+0	1.980000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.360000E+2	6.700000E+2	0.000000E+0	0.000000E+0	0.000000E+0	6.700000E+2	4.993000E+0	2.260000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.370000E+2	7.860000E+2	0.000000E+0	0.000000E+0	0.000000E+0	7.860000E+2	5.600000E+0	2.750000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.380000E+2	9.310000E+2	0.000000E+0	0.000000E+0	0.000000E+0	9.310000E+2	6.210000E+0	3.240000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.390000E+2	1.021000E+3	0.000000E+0	0.000000E+0	0.000000E+0	1.021000E+3	6.818000E+0	3.440000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.400000E+2	1.025000E+3	0.000000E+0	0.000000E+0	0.000000E+0	1.025000E+3	7.423000E+0	3.310000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.410000E+2	9.040000E+2	0.000000E+0	0.000000E+0	0.000000E+0	9.040000E+2	8.029000E+0	3.290000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.420000E+2	7.190000E+2	0.000000E+0	0.000000E+0	0.000000E+0	7.190000E+2	8.637000E+0	2.540000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.430000E+2	6.360000E+2	0.000000E+0	0.000000E+0	0.000000E+0	6.360000E+2	9.244000E+0	2.060000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.440000E+2	5.860000E+2	0.000000E+0	0.000000E+0	0.000000E+0	5.860000E+2	9.851000E+0	2.020000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.450000E+2	5.530000E+2	0.000000E+0	0.000000E+0	0.000000E+0	5.530000E+2	1.045800E+1	1.940000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.460000E+2	5.330000E+2	0.000000E+0	0.000000E+0	0.000000E+0	5.330000E+2	1.106800E+1	1.710000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.470000E+2	5.250000E+2	0.000000E+0	0.000000E+0	0.000000E+0	5.250000E+2	1.167500E+1	1.750000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.480000E+2	4.650000E+2	0.000000E+0	0.000000E+0	0.000000E+0	4.650000E+2	1.228200E+1	1.570000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.490000E+2	4.580000E+2	0.000000E+0	0.000000E+0	0.000000E+0	4.580000E+2	1.288700E+1	1.530000E+2	0.000000E+0	0.000000E+0	0.000000E+0
7.500000E+2	4.710000E+2	0.000000E+0	0.000000E+0	0.000000E+0	4.710000E+2	1.349300E+1	1.530000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.419800E+1	1.360000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.480700E+1	2.740000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.541300E+1	2.520000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.601800E+1	2.080000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.662400E+1	1.970000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.723300E+1	2.000000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.784200E+1	2.290000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.844800E+1	2.620000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.905700E+1	2.960000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.966400E+1	3.410000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.027000E+1	3.600000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.087900E+1	2.790000E+2	0.000000E+0	0.000000E+0	0.000000E+0
0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.148700E+1	2.550000E+2	0.000000E+0	0.000000E+0	0.000000E+0
