x, y
727.6231892470622, 0.011006214823086207
728.3917547050553, 0.018810273068723987
729.0202843027231, 0.024495539087966253
729.8453684712924, 0.03273102561499679
730.644344259123, 0.048550062599397696
731.3353262902623, 0.06228865653797133
731.9720147569109, 0.0791047722171466
732.7135817757311, 0.10830767321986488
733.2333759013454, 0.13714625700718483
733.7964862040943, 0.17182350353602002
734.2769694155282, 0.21238734928208078
734.6298775847168, 0.25225132248277105
734.9633528114238, 0.2859314903168319
735.2702746281749, 0.33458701316279227
735.4896740322226, 0.3726198129913489
735.7667788914258, 0.4165775612176993
735.949537556596, 0.46552070291792147
736.1624098654593, 0.5145693048647063
736.3515472827419, 0.5645478744402712
736.5780671542639, 0.6144497456546995
736.8066638287992, 0.67096685051715
737.0322936418869, 0.7242338623264418
737.2675657546793, 0.7771844933960456
737.4842949834243, 0.8245265568075435
737.9716019761877, 0.8505944122988078
738.3780619945048, 0.8244019219706967
738.6222346916398, 0.7779898261879786
738.884060214388, 0.7276852885775837
739.0907021142112, 0.6774095128526151
739.2547695522619, 0.6317644006812619
739.5213420533261, 0.5727258371964493
739.7150781058525, 0.5214817446621325
739.9071823845826, 0.47751440914064
740.1050720431356, 0.4328567883689191
740.4624305044954, 0.3711625441297556
740.7855217161358, 0.31945826142861977
741.1479238419565, 0.25652725611613036
741.7082156263302, 0.21014392221883849
742.268952439921, 0.16712572891641006
742.8679617661855, 0.12866150080646072
743.5013866852418, 0.09676456986882324
744.3361131535157, 0.0719718246314531
745.2243914709184, 0.04852130071397151
746.0450253473163, 0.03697819736292988
746.9975362150587, 0.02331630178549273
748.0366794370702, 0.01625046526579366
749.1035628136166, 0.0034801881365681994
750.0020768030133, -0.0006423487745180975
