950.148	20.4341
950.115	-13.6227
950.082	20.4312
950.049	34.0472
950.016	20.4254
949.982	-6.80751
949.949	13.6131
949.916	13.6112
949.883	40.8278
949.85	6.80366
949.817	-6.8027
949.784	13.6035
949.75	47.6055
949.717	6.79982
949.684	40.7932
949.651	0
949.618	27.1878
949.585	13.592
949.551	-13.59
949.518	-6.79406
949.485	6.7931
949.452	27.1686
949.419	-20.3736
949.385	0
949.352	-6.78927
949.319	6.78831
949.286	-13.5747
949.253	-13.5728
949.219	20.3563
949.186	-6.78448
949.153	-6.78352
949.12	-6.78256
949.087	-6.7816
949.053	-27.1226
949.02	-20.3391
948.987	27.1149
948.954	6.77778
948.921	33.8841
948.887	20.3276
948.854	0
948.821	-13.5479
948.788	13.546
948.754	-20.3161
948.721	-27.0843
948.688	6.77013
948.655	0
948.622	33.8411
948.588	13.5345
948.555	0
948.522	20.2961
948.489	-6.76441
948.455	-13.5269
948.422	0
948.389	0
948.356	-13.5212
948.322	0
948.289	13.5174
948.256	6.75773
948.222	27.0271
948.189	-20.2675
948.156	20.2646
948.123	0
948.089	6.75297
948.056	-33.7601
948.023	33.7553
947.99	-6.75011
947.956	20.2475
947.923	-13.4964
947.89	33.7363
947.856	0
947.823	26.9814
947.79	-6.74441
947.756	33.7173
947.723	20.2275
947.69	33.7078
947.657	0
947.623	13.4793
947.59	26.9548
947.557	13.4755
947.523	20.2104
947.49	-6.73586
947.457	33.6746
947.423	6.73397
947.39	0
947.357	20.1962
947.323	-6.73112
947.29	-13.4603
947.257	6.72923
947.223	26.9131
947.19	6.72733
947.157	0
947.123	-6.72544
947.09	0
947.057	0
947.023	6.7226
946.99	13.4433
946.956	20.1621
946.923	20.1593
946.89	33.5941
946.856	6.71787
946.823	20.1508
946.79	6.71598
946.756	26.8601
946.723	20.1423
946.69	6.71314
946.656	33.561
946.623	6.71125
946.589	26.8412
946.556	13.4187
946.523	13.4168
946.489	-13.415
946.456	-13.4131
946.422	20.1168
946.389	13.4093
946.356	26.8148
946.322	-20.1083
946.289	26.8073
946.255	20.1026
946.222	20.0998
946.189	20.097
946.155	6.69805
