1000	1718.0688
1001.528	1744.1249
1003.056	1735.5186
1004.584	1727.4581
1006.1121	1741.7184
1007.6401	1770.3691
1009.1681	1772.7306
1010.6961	1708.0887
1012.2241	1732.8225
1013.7521	1785.1471
1015.2802	1693.2092
1016.8082	1755.2446
1018.3362	1785.4918
1019.8642	1745.1381
1021.3922	1746.7579
1022.9202	1757.4255
1024.4482	1775.712
1025.9762	1777.7015
1027.5043	1778.7695
1029.0322	1812.5404
1030.5603	1830.9095
1032.0883	1798.8192
1033.6163	1819.9943
1035.1443	1861.7061
1036.6724	1857.7946
1038.2003	1813.9847
1039.7284	1835.2977
1041.2563	1871.803
1042.7844	1836.09
1044.3124	1855.8717
1045.8405	1884.1532
1047.3684	1883.584
1048.8965	1896.4204
1050.4244	1878.6299
1051.9525	1844.9967
1053.4805	1897.7898
1055.0085	1878.316
1056.5365	1848.4417
1058.0646	1856.4333
1059.5925	1834.0089
1061.1205	1851.7708
1062.6486	1869.5314
1064.1765	1839.802
1065.7046	1900.8994
1067.2325	1862.0983
1068.7606	1871.1964
1070.2886	1905.3337
1071.8167	1918.8228
1073.3446	1925.4215
1074.8727	1905.9166
1076.4006	1884.7947
1077.9287	1916.5005
1079.4567	1909.6143
1080.9847	1926.5687
1082.5127	1886.974
1084.0408	1987.3467
1085.5687	1958.5471
1087.0968	1956
1088.6248	1964.8079
1090.1528	1958.8636
1091.6808	1970.2493
1093.2089	1978.8549
1094.7368	1978.8842
1096.2649	1998.9091
1097.7928	1993.6923
1099.3209	1978.9417
1100.8489	2007.4476
1102.377	2000.9594
1103.9049	2006.6613
1105.433	2032.4265
1106.9609	1987.8442
1108.489	2061.3704
1110.017	2038.7638
1111.545	2059.8462
1113.073	2061.1465
1114.6011	2006.0704
1116.129	2035.5825
1117.6571	2066.0088
1119.1851	2054.8604
1120.713	2078.7241
1122.2411	2069.0493
1123.769	2032.712
1125.2971	2026.3857
1126.8251	2044.2091
1128.3531	2092.0801
1129.8811	2080.0007
1131.4092	2020.6394
1132.9371	2077.7109
1134.4652	2110.5107
1135.9932	2115.8174
1137.5212	2056.2195
1139.0492	2103.2488
1140.5773	2084.8235
1142.1052	2091.4631
1143.6333	2133.8767
1145.1613	2107.8284
1146.6893	2116.2422
1148.2173	2125.8318
1149.7454	2121.3704
1151.2733	2110.1748
1152.8014	2094.2803
1154.3293	2074.9451
1155.8574	2075.2625
1157.3854	2111.8513
1158.9135	2117.2798
1160.4414	2146.0474
1161.9695	2153.0964
1163.4974	2142.3906
1165.0255	2156.5938
1166.5535	2146.1418
1168.0815	2153.509
1169.6095	2149.554
1171.1376	2172.5469
1172.6655	2154.0315
1174.1936	2137.5852
1175.7216	2152.7993
1177.2496	2157.1074
1178.7776	2149.5872
1180.3055	2149.8796
1181.8336	2182.4194
1183.3616	2186.6008
1184.8896	2156.759
1186.4176	2164.9128
1187.9457	2194.2036
1189.4736	2211.176
1191.0017	2202.7031
1192.5297	2238.7429
1194.0577	2182.5088
1195.5857	2199.5032
1197.1138	2218.2251
1198.6417	2298.8979
1200.1698	2281.709
1201.6978	2263.5803
1203.2258	2199.1228
1204.7538	2238.1345
1206.2819	2264.5198
